size,min,avg,max
364,317.91,329.01,350.60
365,316.55,327.50,348.50
366,314.47,325.64,346.29
367,314.07,326.76,345.11
368,314.15,324.85,341.34
369,314.69,327.37,352.99
370,314.06,325.86,354.46
371,320.10,332.58,348.48
372,318.49,328.26,348.08
373,318.34,328.62,343.78
374,318.00,326.62,344.18
375,317.34,324.85,343.13
376,316.59,325.72,341.71
377,312.41,326.47,351.93
378,316.85,325.98,357.07
379,314.27,325.41,342.59
380,315.05,323.65,339.44
381,315.27,324.13,336.93
382,305.92,324.81,339.78
383,309.81,324.44,347.34
384,314.26,323.64,337.32
385,311.62,323.27,339.44
386,315.14,328.70,362.62
387,312.05,324.96,362.38
388,310.35,325.29,359.24
389,314.53,324.36,338.68
390,311.12,323.62,345.53
391,313.45,325.28,343.59
392,311.60,322.97,344.13
393,314.37,324.04,345.50
394,312.37,323.77,353.69
395,315.32,326.25,351.94
396,312.51,323.45,346.21
397,314.25,324.47,358.88
398,314.61,324.82,340.04
399,314.00,324.57,356.40
400,312.95,324.25,345.98
401,313.38,322.99,346.43
402,314.76,328.17,350.17
403,314.20,323.77,349.42
404,314.24,326.82,357.72
405,315.10,326.51,350.03
406,313.73,327.04,359.48
407,318.63,329.91,352.19
408,318.11,328.74,345.62
409,315.24,327.88,349.62
410,314.26,326.14,342.04
411,313.94,326.69,351.46
412,309.99,327.99,373.79
413,314.41,326.55,360.00
414,305.82,325.30,342.82
415,306.15,329.45,362.98
416,321.89,331.64,344.78
417,318.53,329.49,348.57
418,319.92,328.71,348.03
419,313.31,327.96,341.55
420,318.13,327.86,343.63
421,317.37,331.40,352.22
422,316.60,326.53,350.00
423,317.26,327.41,344.87
424,315.73,325.58,349.98
425,315.89,325.94,346.03
426,315.11,324.91,346.55
427,313.97,324.32,340.21
428,312.69,324.25,345.58
429,311.80,324.28,354.40
430,318.68,338.21,354.61
431,323.30,334.04,363.06
432,321.62,331.54,350.39
433,318.56,330.38,356.15
434,319.42,330.30,347.50
435,317.95,328.80,341.31
436,316.06,328.92,346.76
437,316.54,327.62,345.66
438,315.40,330.47,358.41
439,316.70,327.77,352.15
440,314.75,326.69,354.01
441,310.22,325.87,359.57
442,321.32,335.97,363.75
443,319.76,333.24,347.54
444,314.00,329.76,347.59
445,314.36,331.88,356.70
446,315.55,326.96,356.89
447,316.51,329.58,345.02
448,315.33,325.89,344.30
449,314.67,325.65,345.87
450,314.53,324.60,338.84
451,317.80,332.84,372.83
452,320.20,329.70,344.48
453,316.62,327.47,346.30
454,317.21,327.39,347.77
455,315.08,326.35,347.09
456,314.46,329.14,350.00
457,312.91,325.43,363.54
458,314.14,325.24,343.22
459,312.08,324.08,342.86
460,319.81,334.86,374.18
461,318.99,329.35,346.39
462,316.90,328.05,341.13
463,315.95,326.65,343.67
464,315.62,329.60,351.91
465,315.06,326.62,342.46
466,313.38,327.09,345.12
467,314.21,325.90,342.65
468,314.16,325.95,347.32
469,306.18,325.98,349.71
470,311.05,326.33,349.20
471,313.89,326.98,345.86
472,311.63,327.03,344.36
473,312.08,330.90,354.14
474,309.84,327.96,377.14
475,312.30,328.66,347.35
476,310.61,326.68,344.53
477,303.01,326.62,344.34
478,312.33,328.67,351.61
479,312.80,326.29,342.27
480,305.65,325.30,342.57
481,311.49,325.90,342.06
482,312.69,328.06,352.07
483,312.13,325.22,337.33
484,312.94,324.18,341.29
485,313.86,324.34,340.35
486,315.50,324.35,341.35
487,315.24,325.47,338.80
488,316.05,324.68,334.80
489,314.57,329.60,352.53
490,313.42,326.62,353.81
491,314.16,326.90,351.61
492,315.45,325.32,347.35
493,313.91,324.33,334.18
494,316.49,324.48,340.65
495,318.01,329.28,374.27
496,321.20,331.08,344.88
497,318.34,328.21,345.75
498,316.87,327.94,353.91
499,317.80,330.33,356.06
500,312.04,327.38,341.84
501,312.92,327.95,348.63
502,312.99,327.18,346.81
503,310.32,327.71,349.76
504,308.53,334.02,370.80
505,321.33,333.95,353.29
506,317.33,330.76,351.00
507,313.87,330.65,344.39
508,317.17,333.94,353.69
509,313.04,332.85,351.44
510,318.80,334.04,347.86
511,322.56,334.74,348.59
512,323.08,337.07,362.38
513,323.66,337.31,355.04
514,321.56,335.98,349.35
515,323.55,336.10,355.09
516,325.26,338.18,362.76
517,338.25,349.02,362.66
518,334.35,345.23,362.56
519,332.15,342.09,353.61
520,330.61,340.60,352.32
521,329.55,341.01,357.49
522,325.70,339.34,352.86
523,330.04,339.59,367.20
524,328.78,341.00,363.56
525,331.39,342.83,373.30
526,330.00,341.09,360.51
527,330.72,340.73,356.42
528,330.84,352.14,376.85
529,334.30,349.46,365.47
530,329.62,345.38,361.82
531,329.87,345.91,369.78
532,325.71,344.38,362.23
533,327.95,346.37,371.18
534,330.21,342.47,357.62
535,330.10,344.43,364.16
536,319.65,342.77,362.55
537,326.11,342.71,363.59
538,327.87,345.90,379.84
539,328.74,348.30,365.39
540,332.18,344.86,364.93
541,335.35,347.79,369.45
542,335.32,344.57,356.01
543,335.28,344.79,358.16
544,332.79,343.34,362.98
545,332.54,343.38,357.80
546,332.52,344.86,361.53
547,336.43,355.15,388.67
548,333.89,347.60,365.88
549,333.85,349.16,377.36
550,331.87,346.65,370.24
551,331.30,346.11,371.29
552,330.63,344.32,367.92
553,329.59,345.26,363.62
554,333.81,347.38,365.34
555,331.08,345.80,368.53
556,332.21,345.82,362.19
557,329.80,346.51,365.05
558,335.05,348.33,379.62
559,331.67,347.59,366.27
560,329.11,346.49,363.43
561,334.15,346.64,360.75
562,333.63,347.28,363.47
563,334.16,346.43,365.06
564,336.86,347.39,365.95
565,330.33,347.42,372.70
566,333.99,350.13,380.03
567,333.69,347.51,367.55
568,337.70,356.39,394.48
569,337.88,354.86,382.72
570,336.13,351.64,370.15
571,332.71,349.38,367.55
572,338.01,349.86,364.40
573,341.77,356.08,374.07
574,339.73,353.89,386.40
575,340.07,350.72,365.60
576,336.58,348.49,365.29
577,335.58,349.31,364.95
578,338.67,350.00,368.17
579,330.77,350.67,368.09
580,335.24,356.19,380.85
581,339.80,354.42,376.90
582,334.79,355.72,383.29
583,333.86,351.52,369.49
584,329.70,351.10,372.33
585,337.49,350.77,367.18
586,336.14,351.53,370.35
587,337.74,351.29,365.96
588,334.70,352.27,382.73
589,343.60,360.41,380.28
590,340.66,359.74,386.12
591,336.89,353.81,383.85
592,339.55,352.74,375.06
593,335.47,352.10,373.98
594,340.48,352.99,373.10
595,339.85,352.72,377.92
596,338.43,352.45,377.05
597,337.03,353.33,375.26
598,337.69,360.23,388.64
599,346.01,363.76,380.62
600,341.75,355.16,374.78
601,340.55,354.30,381.34
602,341.19,354.01,370.71
603,343.78,353.24,367.05
604,338.17,353.88,374.41
605,339.23,354.33,378.02
606,342.96,359.05,394.35
607,343.47,354.62,375.15
608,340.60,355.46,383.04
609,339.54,362.83,403.05
610,345.57,362.37,383.56
611,342.86,357.65,372.58
612,340.48,356.35,376.47
613,337.91,363.30,389.25
614,342.70,361.41,400.26
615,344.10,356.95,377.31
616,342.76,356.31,377.06
617,340.61,355.40,373.60
618,345.35,357.25,373.91
619,342.77,357.25,378.30
620,342.33,356.77,387.17
621,343.09,362.89,405.01
622,348.42,364.17,391.36
623,345.38,358.72,380.94
624,341.53,357.42,374.35
625,343.12,357.71,374.38
626,345.25,358.15,379.90
627,341.08,356.86,378.46
628,342.79,357.77,373.98
629,341.50,363.58,429.29
630,346.14,365.49,393.51
631,344.16,360.24,384.68
632,346.15,359.02,381.04
633,344.93,359.06,373.72
634,346.13,359.03,378.26
635,346.75,358.54,380.26
636,346.36,359.17,374.69
637,348.72,360.05,396.07
638,349.14,362.67,384.39
639,346.50,361.07,380.20
640,349.06,359.15,372.98
641,347.94,359.88,377.20
642,348.55,361.36,379.79
643,350.66,360.16,377.77
644,348.39,360.70,389.79
645,348.44,361.87,379.80
646,349.23,363.57,409.63
647,350.98,362.06,382.44
648,348.23,361.00,378.48
649,350.30,362.02,386.97
650,347.80,362.29,380.03
651,348.18,361.94,382.67
652,347.06,362.21,384.80
653,349.48,373.14,405.93
654,359.03,371.39,391.26
655,352.29,366.91,389.11
656,352.59,364.27,391.80
657,354.14,363.54,380.53
658,349.26,365.87,383.77
659,349.46,365.17,386.64
660,353.98,365.65,383.96
661,351.17,372.07,433.46
662,354.03,368.63,390.09
663,355.62,366.99,384.93
664,351.05,365.02,382.48
665,352.32,364.96,387.52
666,352.98,373.88,398.58
667,359.26,372.75,400.59
668,353.44,368.45,385.03
669,354.76,376.65,405.68
670,362.82,373.82,391.38
671,357.24,369.43,389.37
672,356.19,366.90,381.40
673,349.87,367.23,386.97
674,353.39,365.88,381.43
675,352.14,367.36,384.87
676,353.71,367.43,387.36
677,357.27,374.49,394.87
678,361.02,375.36,395.76
679,356.40,368.21,392.06
680,356.02,369.66,387.67
681,355.18,370.00,396.76
682,356.07,368.35,392.47
683,356.27,368.96,392.40
684,357.30,372.88,397.42
685,354.37,369.44,389.30
686,354.21,369.52,395.24
687,355.23,368.97,405.33
688,360.41,377.59,400.12
